23:15:37.8,70:53:17
23:18:37.5,68:6:42
20:13:27.7,60:38:26
20:44:22.0,56:29:17
20:45:21.1,57:34:47
20:59:25.4,59:26:19
21:2:9.1,56:40:11
21:11:48.2,59:59:11
21:17:14.3,55:47:53
21:19:15.8,58:37:25
21:30:59.3,60:27:34
21:38:57.6,57:29:21
21:43:30.4,58:46:48
21:47:25.3,60:41:34
21:52:1.0,55:47:49
21:54:53.2,56:36:41
22:2:4.6,58:0:2
22:10:51.3,58:12:4
22:11:30.7,59:24:52
22:11:48.8,56:50:22
22:12:1.9,60:45:34
22:15:2.0,57:2:37
22:16:26.5,57:13:13
22:29:10.3,58:24:55
2:11:21.1,8:34:11
2:13:0.0,8:50:48
2:28:9.5,8:27:36
2:36:4.9,6:53:13
2:35:52.5,5:35:36
2:36:35.1,7:43:47
2:44:56.5,10:6:51
2:56:13.8,8:22:54
2:59:42.9,8:54:27
3:12:26.4,6:39:39
0:30:2.4,-3:57:26
0:35:14.9,-3:35:34
0:35:32.8,-0:30:20
0:40:42.4,-4:21:7
0:53:0.5,-1:8:39
1:3:2.6,-4:50:12
1:10:33.6,2:26:44
1:11:43.5,-2:15:4
1:14:49.2,-0:58:26
1:16:36.3,-2:30:1
1:19:48.3,-0:30:32
1:42:43.5,-3:41:25
2:3:11.7,0:7:42
2:3:48.2,-0:20:25
2:3:40.5,-4:6:13
2:11:35.8,-1:49:31
2:12:47.5,-2:23:37
2:18:1.4,1:45:28
2:19:20.7,-2:58:39
2:21:56.6,0:23:45
2:22:12.4,-0:53:6
2:31:30.1,2:16:2
2:32:9.4,-1:2:6
2:37:41.8,-3:23:46
2:39:29.0,0:19:43
2:41:13.9,-0:41:45
2:43:18.0,3:14:9
3:2:22.5,4:21:10
3:2:16.8,4:5:23
3:12:46.4,-1:11:46
3:18:22.4,-0:55:49
3:19:21.7,3:22:13
3:21:6.8,3:40:32
0:4:19.7,-16:31:44
0:4:30.1,-10:30:34
0:8:17.4,-8:49:26
0:10:42.8,-12:34:48
0:11:15.9,-15:28:5
0:14:27.6,-7:46:50
0:14:54.5,-9:34:11
0:19:25.7,-8:49:26
0:44:11.4,-10:36:34
0:49:25.6,-13:33:41
0:50:7.6,-10:38:40
0:55:42.4,-7:20:50
0:56:1.5,-11:16:0
0:58:43.9,-11:22:48
1:6:5.1,-9:50:22
1:7:46.2,-9:47:8
1:8:35.4,-10:10:56
1:14:24.0,-7:55:23
1:24:1.4,-8:11:0
1:24:20.6,-6:54:53
1:25:37.2,-14:35:56
1:26:51.6,-13:3:24
1:33:42.9,-7:1:31
1:34:37.8,-15:40:34
1:35:59.0,-15:24:1
1:41:44.7,-11:19:29
1:44:4.1,-15:56:15
1:45:59.3,-5:44:0
1:49:35.1,-10:41:11
1:51:27.6,-10:20:6
1:52:52.1,-16:55:45
2:0:26.9,-8:31:25
2:2:58.6,-15:18:21
2:16:59.0,-6:25:20
2:22:1.4,-10:46:40
2:25:57.0,-12:17:26
2:26:0.3,-15:20:28
2:32:5.2,-15:14:41
2:34:42.7,-7:51:34
2:36:0.0,-7:49:54
2:39:33.8,-11:52:20
2:40:12.3,-9:27:11
2:41:34.0,-14:32:58
2:44:7.4,-13:51:31
0:3:44.4,-17:20:10
0:7:46.8,-22:30:32
0:12:10.0,-17:56:18
0:14:38.4,-18:55:58
0:21:46.3,-20:3:28
0:30:22.7,-23:47:16
0:37:20.7,-24:46:2
0:43:35.4,-17:59:12
0:44:44.4,-22:0:22
0:46:11.8,-22:31:19
0:47:43.3,-18:3:41
0:48:1.1,-21:43:21
0:49:13.9,-24:8:11
0:52:40.6,-24:0:21
1:29:36.1,-21:37:46
1:38:51.8,-21:16:31
1:56:40.2,-22:31:37
1:59:46.1,-20:49:28
2:0:0.3,-21:4:40
2:13:0.9,-21:0:1
2:22:5.0,-17:39:44
2:22:32.6,-23:48:59
2:26:35.2,-20:2:34
6:15:44.9,-13:43:6
6:16:7.7,-16:37:4
6:17:41.7,-16:48:57
6:21:24.7,-11:46:24
6:24:10.3,-11:31:49
6:31:23.0,-12:23:30
6:36:46.7,-13:19:15
6:39:16.7,-14:8:45
6:45:8.9,-16:42:58
6:45:59.3,-14:47:46
6:46:51.1,-14:25:33
6:48:57.8,-15:8:41
6:54:11.4,-12:2:19
6:56:6.6,-14:2:37
7:3:45.5,-15:38:0
7:6:40.7,-11:17:39
7:13:7.2,-11:15:5
7:16:14.5,-15:35:9
7:19:28.1,-16:23:42
7:20:58.2,-14:21:36
7:24:40.1,-16:12:4
7:25:8.3,-13:45:7
7:27:51.7,-11:33:25
6:15:8.4,-20:16:20
6:15:17.5,-18:28:36
6:18:13.7,-19:58:1
6:18:59.0,-20:55:34
6:22:42.0,-17:57:21
6:23:55.9,-25:34:40
6:28:37.3,-17:27:58
6:30:46.3,-27:46:10
6:31:51.3,-23:25:6
6:35:3.4,-22:57:53
6:36:22.8,-18:39:36
6:36:41.0,-19:15:21
6:37:53.4,-18:14:15
6:50:21.9,-17:5:2
6:53:18.8,-19:1:58
6:53:32.9,-20:13:27
6:54:7.9,-24:11:2
6:55:2.7,-20:24:17
6:55:37.4,-20:8:11
6:55:46.8,-22:56:29
6:56:8.2,-17:3:15
6:57:33.9,-24:37:50
6:58:35.9,-25:24:50
7:1:5.9,-25:12:55
7:1:43.1,-27:56:5
7:3:1.5,-23:50:0
7:7:22.6,-23:50:25
7:8:23.5,-26:23:36
7:9:42.9,-25:13:52
7:10:19.4,-27:29:29
7:11:41.6,-20:52:59
7:12:12.2,-25:56:33
7:14:15.2,-26:21:9
7:14:48.7,-26:46:22
7:14:51.1,-27:2:17
7:16:36.8,-23:18:56
7:16:35.0,-27:52:52
7:18:40.3,-24:33:32
7:18:42.4,-24:57:15
7:18:51.2,-26:35:9
7:21:4.3,-25:53:29
7:22:13.5,-19:1:0
7:23:29.1,-27:50:3
7:25:25.3,-25:13:4
7:27:8.0,-17:51:52
7:26:59.4,-23:5:10
6:20:18.8,-30:3:48
6:39:42.7,-30:28:13
6:45:31.3,-30:56:56
6:58:37.5,-28:58:20
7:15:21.0,-30:41:11
7:24:5.7,-29:18:11
7:7:49.5,7:28:16
7:14:32.6,12:6:57
7:15:39.4,7:58:40
7:19:47.6,7:8:34
7:24:58.2,11:40:11
7:25:38.9,9:16:34
7:27:9.0,8:17:22
7:28:2.1,6:56:31
7:28:9.8,8:55:32
7:29:47.8,12:0:24
7:36:34.7,5:51:42
